antecedent,consequent,support,confidence,lift
"aspect:ambience,aspect:service",sentiment:Neutral,0.010849,0.538806,0.687137
"aspect:food_quality,sentiment:Neutral",rating_high,0.034831,0.540831,0.683095
"aspect:price_value,sentiment:Neutral",rating_high,0.010218,0.527132,0.665793
aspect:waiting_time,"rating_high,sentiment:Neutral",0.012772,0.393519,0.641879
"aspect:food_quality,aspect:service",sentiment:Neutral,0.01719,0.49481,0.631028
aspect:service,sentiment:Neutral,0.023742,0.468843,0.597913
"aspect:price_value,rating_high",sentiment:Neutral,0.010218,0.467675,0.596424
"aspect:service,sentiment:Neutral",rating_high,0.010909,0.459494,0.580363
"aspect:ambience,aspect:food_quality",sentiment:Neutral,0.024132,0.439759,0.560823
aspect:ambience,sentiment:Neutral,0.037385,0.405476,0.517101
"aspect:service,rating_high",sentiment:Neutral,0.010909,0.384942,0.490914
aspect:food_quality,sentiment:Neutral,0.064403,0.366074,0.466853
"aspect:ambience,rating_high",sentiment:Neutral,0.024012,0.325591,0.415224
