branch_id,branch_name,month,review_count,average_rating,average_sentiment_score,negative_ratio,is_zero_volume,is_observed,anomaly_score,is_anomaly,alert_reasons,alert_severity
gachibowli,Gachibowli,2026-08,25,3.2,-0.008136,0.2,False,True,-0.196248,True,"['rating_drop_vs_previous_month', 'model_outlier']",high
gachibowli,Gachibowli,2023-06,28,3.6429,-0.025108,0.1786,False,True,-0.195089,True,['model_outlier'],medium
jubilee_hills,Jubilee Hills,2017-06,11,4.9091,0.117424,0.0,False,True,-0.167137,True,['model_outlier'],medium
banjara_hills,Banjara Hills,2025-12,45,3.2889,-0.009276,0.1333,False,True,-0.102837,True,"['rating_drop_vs_previous_month', 'model_outlier']",high
banjara_hills,Banjara Hills,2026-06,51,3.1961,0.022374,0.1373,False,True,-0.087864,True,"['rating_drop_vs_previous_month', 'model_outlier']",high
jubilee_hills,Jubilee Hills,2017-08,13,4.4615,0.127092,0.0,False,True,-0.077936,True,['model_outlier'],medium
jubilee_hills,Jubilee Hills,2017-07,15,4.8,0.077292,0.0,False,True,-0.076227,True,['model_outlier'],medium
gachibowli,Gachibowli,2025-06,40,3.725,-0.011036,0.1,False,True,-0.075372,True,['model_outlier'],medium
jubilee_hills,Jubilee Hills,2019-12,897,4.2631,0.038725,0.0111,False,True,-0.070438,True,['model_outlier'],medium
gachibowli,Gachibowli,2026-06,48,3.4167,0.024409,0.1458,False,True,-0.06239,True,"['rating_drop_vs_previous_month', 'model_outlier']",high
banjara_hills,Banjara Hills,2023-08,56,3.3036,0.013994,0.125,False,True,-0.061839,True,"['rating_drop_vs_previous_month', 'model_outlier']",high
banjara_hills,Banjara Hills,2026-04,52,3.3654,0.051626,0.0962,False,True,-0.05668,True,"['rating_drop_vs_previous_month', 'model_outlier']",high
jubilee_hills,Jubilee Hills,2020-02,966,4.2743,0.0462,0.0062,False,True,-0.050732,True,['model_outlier'],medium
jubilee_hills,Jubilee Hills,2026-04,62,3.5161,0.004384,0.1129,False,True,-0.043013,True,['model_outlier'],medium
banjara_hills,Banjara Hills,2025-06,43,4.0698,0.125031,0.0,False,True,-0.04176,True,['model_outlier'],medium
jubilee_hills,Jubilee Hills,2020-01,936,4.2265,0.063908,0.0085,False,True,-0.039168,True,['model_outlier'],medium
jubilee_hills,Jubilee Hills,2017-09,30,4.3333,0.120674,0.0,False,True,-0.009711,True,"['review_volume_shift_vs_previous_month', 'model_outlier']",high
banjara_hills,Banjara Hills,2026-01,43,3.5349,0.026665,0.1163,False,True,-0.003772,True,['model_outlier'],medium
jubilee_hills,Jubilee Hills,2019-11,820,4.2744,0.051428,0.0073,False,True,-0.002681,True,['model_outlier'],medium
banjara_hills,Banjara Hills,2023-02,35,3.6,0.054847,0.0857,False,True,-0.001608,True,['model_outlier'],medium
jubilee_hills,Jubilee Hills,2019-09,710,4.3296,0.046574,0.007,False,True,-0.000531,True,['model_outlier'],medium
banjara_hills,Banjara Hills,2024-12,30,3.5667,0.019537,0.1,False,True,0.000354,False,['rating_drop_vs_previous_month'],medium
jubilee_hills,Jubilee Hills,2018-04,140,4.1286,0.097871,0.0,False,True,0.00434,False,[],low
jubilee_hills,Jubilee Hills,2023-10,245,3.7959,0.022031,0.0531,False,True,0.006017,False,[],low
jubilee_hills,Jubilee Hills,2021-10,471,4.0064,0.050722,0.0318,False,True,0.008812,False,[],low
jubilee_hills,Jubilee Hills,2020-07,25,4.36,0.108889,0.0,False,True,0.009261,False,[],low
jubilee_hills,Jubilee Hills,2018-01,140,4.4571,0.065175,0.0,False,True,0.009889,False,[],low
banjara_hills,Banjara Hills,2023-04,27,4.0741,0.051404,0.0741,False,True,0.013341,False,[],low
jubilee_hills,Jubilee Hills,2026-08,27,4.1481,0.003344,0.0,False,True,0.013478,False,['review_volume_shift_vs_previous_month'],medium
banjara_hills,Banjara Hills,2025-11,37,3.8378,0.098596,0.0,False,True,0.017427,False,[],low
banjara_hills,Banjara Hills,2026-08,19,4.4737,0.085205,0.0,False,True,0.018664,False,[],low
jubilee_hills,Jubilee Hills,2022-07,419,3.9117,0.03237,0.0358,False,True,0.019089,False,[],low
jubilee_hills,Jubilee Hills,2019-08,616,4.2419,0.043173,0.013,False,True,0.02167,False,[],low
banjara_hills,Banjara Hills,2021-11,135,4.3481,0.048265,0.037,False,True,0.024567,False,[],low
jubilee_hills,Jubilee Hills,2021-09,485,4.1526,0.07434,0.0206,False,True,0.02466,False,[],low
jubilee_hills,Jubilee Hills,2024-05,153,3.7647,0.008454,0.0458,False,True,0.024975,False,[],low
jubilee_hills,Jubilee Hills,2024-09,87,3.977,0.00112,0.046,False,True,0.026229,False,[],low
gachibowli,Gachibowli,2025-04,34,3.8824,0.097905,0.0,False,True,0.026676,False,[],low
jubilee_hills,Jubilee Hills,2025-03,74,4.1216,0.002243,0.027,False,True,0.027494,False,[],low
jubilee_hills,Jubilee Hills,2024-07,122,3.623,0.018889,0.0574,False,True,0.027912,False,[],low
